num_qubits,num_layers,num_features,accuracy,encoding_circuit,seed
1,1,5,,RandomLayeredEncodingCircuit,12081887
2,1,5,,RandomLayeredEncodingCircuit,12081887
3,1,5,,RandomLayeredEncodingCircuit,12081887
4,1,5,,RandomLayeredEncodingCircuit,12081887
5,1,5,0.45511482254697283,RandomLayeredEncodingCircuit,12081887
1,2,5,,RandomLayeredEncodingCircuit,12081887
2,2,5,,RandomLayeredEncodingCircuit,12081887
3,2,5,0.512178148921364,RandomLayeredEncodingCircuit,12081887
4,2,5,0.7320807237299931,RandomLayeredEncodingCircuit,12081887
5,2,5,0.8239387613082813,RandomLayeredEncodingCircuit,12081887
1,3,5,,RandomLayeredEncodingCircuit,12081887
2,3,5,0.2630480167014614,RandomLayeredEncodingCircuit,12081887
3,3,5,0.7376478775226166,RandomLayeredEncodingCircuit,12081887
4,3,5,0.824634655532359,RandomLayeredEncodingCircuit,12081887
5,3,5,0.8990953375086987,RandomLayeredEncodingCircuit,12081887
1,4,5,,RandomLayeredEncodingCircuit,12081887
2,4,5,0.48295059151009045,RandomLayeredEncodingCircuit,12081887
3,4,5,0.6798886569241476,RandomLayeredEncodingCircuit,12081887
4,4,5,0.7780097425191371,RandomLayeredEncodingCircuit,12081887
5,4,5,0.895615866388309,RandomLayeredEncodingCircuit,12081887
1,5,5,0.17049408489909534,RandomLayeredEncodingCircuit,12081887
2,5,5,0.5539318023660403,RandomLayeredEncodingCircuit,12081887
3,5,5,0.5678496868475992,RandomLayeredEncodingCircuit,12081887
4,5,5,0.6986778009742519,RandomLayeredEncodingCircuit,12081887
5,5,5,0.8420320111343075,RandomLayeredEncodingCircuit,12081887
