num_qubits,num_layers,num_features,accuracy,encoding_circuit,seed
1,1,5,,RandomLayeredEncodingCircuit,23041858
2,1,5,,RandomLayeredEncodingCircuit,23041858
3,1,5,,RandomLayeredEncodingCircuit,23041858
4,1,5,,RandomLayeredEncodingCircuit,23041858
5,1,5,0.7418232428670842,RandomLayeredEncodingCircuit,23041858
1,2,5,,RandomLayeredEncodingCircuit,23041858
2,2,5,,RandomLayeredEncodingCircuit,23041858
3,2,5,0.6450939457202506,RandomLayeredEncodingCircuit,23041858
4,2,5,0.7292971468336812,RandomLayeredEncodingCircuit,23041858
5,2,5,0.7355601948503828,RandomLayeredEncodingCircuit,23041858
1,3,5,,RandomLayeredEncodingCircuit,23041858
2,3,5,0.487821851078636,RandomLayeredEncodingCircuit,23041858
3,3,5,0.6270006958942241,RandomLayeredEncodingCircuit,23041858
4,3,5,0.7459986082115518,RandomLayeredEncodingCircuit,23041858
5,3,5,0.8656924147529574,RandomLayeredEncodingCircuit,23041858
1,4,5,,RandomLayeredEncodingCircuit,23041858
2,4,5,0.27209464161447455,RandomLayeredEncodingCircuit,23041858
3,4,5,0.745998608211552,RandomLayeredEncodingCircuit,23041858
4,4,5,0.8378566457898399,RandomLayeredEncodingCircuit,23041858
5,4,5,0.7940153096729298,RandomLayeredEncodingCircuit,23041858
1,5,5,0.17675713291579678,RandomLayeredEncodingCircuit,23041858
2,5,5,0.18510786360473208,RandomLayeredEncodingCircuit,23041858
3,5,5,0.256089074460682,RandomLayeredEncodingCircuit,23041858
4,5,5,0.25817675713291577,RandomLayeredEncodingCircuit,23041858
5,5,5,0.10090466249130133,RandomLayeredEncodingCircuit,23041858
