num_qubits,num_layers,num_features,accuracy,encoding_circuit,seed
1,1,5,,RandomLayeredEncodingCircuit,5121901
2,1,5,,RandomLayeredEncodingCircuit,5121901
3,1,5,,RandomLayeredEncodingCircuit,5121901
4,1,5,,RandomLayeredEncodingCircuit,5121901
5,1,5,0.10090466249130133,RandomLayeredEncodingCircuit,5121901
1,2,5,,RandomLayeredEncodingCircuit,5121901
2,2,5,,RandomLayeredEncodingCircuit,5121901
3,2,5,0.2567849686847599,RandomLayeredEncodingCircuit,5121901
4,2,5,0.255393180236604,RandomLayeredEncodingCircuit,5121901
5,2,5,0.10090466249130133,RandomLayeredEncodingCircuit,5121901
1,3,5,,RandomLayeredEncodingCircuit,5121901
2,3,5,0.46624913013221986,RandomLayeredEncodingCircuit,5121901
3,3,5,0.3215031315240084,RandomLayeredEncodingCircuit,5121901
4,3,5,0.42519137091162146,RandomLayeredEncodingCircuit,5121901
5,3,5,0.7418232428670842,RandomLayeredEncodingCircuit,5121901
1,4,5,,RandomLayeredEncodingCircuit,5121901
2,4,5,0.27279053583855256,RandomLayeredEncodingCircuit,5121901
3,4,5,0.30410577592205984,RandomLayeredEncodingCircuit,5121901
4,4,5,0.4474599860821155,RandomLayeredEncodingCircuit,5121901
5,4,5,0.7418232428670842,RandomLayeredEncodingCircuit,5121901
1,5,5,0.20041753653444674,RandomLayeredEncodingCircuit,5121901
2,5,5,0.22268615170494085,RandomLayeredEncodingCircuit,5121901
3,5,5,0.26513569937369524,RandomLayeredEncodingCircuit,5121901
4,5,5,0.3201113430758525,RandomLayeredEncodingCircuit,5121901
5,5,5,0.37230340988169797,RandomLayeredEncodingCircuit,5121901
