num_qubits,num_layers,num_features,accuracy,encoding_circuit,seed
1,1,5,,RandomLayeredEncodingCircuit,25041900
2,1,5,,RandomLayeredEncodingCircuit,25041900
3,1,5,,RandomLayeredEncodingCircuit,25041900
4,1,5,,RandomLayeredEncodingCircuit,25041900
5,1,5,0.7418232428670842,RandomLayeredEncodingCircuit,25041900
1,2,5,,RandomLayeredEncodingCircuit,25041900
2,2,5,,RandomLayeredEncodingCircuit,25041900
3,2,5,0.3771746694502436,RandomLayeredEncodingCircuit,25041900
4,2,5,0.38761308281141266,RandomLayeredEncodingCircuit,25041900
5,2,5,0.45511482254697283,RandomLayeredEncodingCircuit,25041900
1,3,5,,RandomLayeredEncodingCircuit,25041900
2,3,5,0.10090466249130133,RandomLayeredEncodingCircuit,25041900
3,3,5,0.10090466249130133,RandomLayeredEncodingCircuit,25041900
4,3,5,0.10090466249130133,RandomLayeredEncodingCircuit,25041900
5,3,5,0.1002087682672234,RandomLayeredEncodingCircuit,25041900
1,4,5,,RandomLayeredEncodingCircuit,25041900
2,4,5,0.39109255393180237,RandomLayeredEncodingCircuit,25041900
3,4,5,0.6917188587334725,RandomLayeredEncodingCircuit,25041900
4,4,5,0.7529575504523311,RandomLayeredEncodingCircuit,25041900
5,4,5,0.10090466249130133,RandomLayeredEncodingCircuit,25041900
1,5,5,0.15588030619345858,RandomLayeredEncodingCircuit,25041900
2,5,5,0.29018789144050106,RandomLayeredEncodingCircuit,25041900
3,5,5,0.2950591510090466,RandomLayeredEncodingCircuit,25041900
4,5,5,0.36812804453723036,RandomLayeredEncodingCircuit,25041900
5,5,5,0.1022964509394572,RandomLayeredEncodingCircuit,25041900
