num_qubits,num_features,num_layers,seed,bases,approx_score,approx_time,actual_score,actual_time
3,5,2,3,XZ,0.9366736256089074,1.5199794590007514,0.9164926931106472,318.92064504203154
3,5,2,3,YZ,0.8475991649269311,1.5813515419722535,0.802366040361865,319.3050787090324
3,5,2,3,XYZ,0.9631176061238692,1.5483874999918044,0.9554627696590118,587.3102507910226
3,5,2,4,X,0.7146833681280446,1.4933474999852479,0.6945024356297843,137.3915173750138
3,5,2,4,Y,0.10160055671537926,1.6392348750378005,0.10160055671537926,138.26269395800773
3,5,2,4,Z,0.7369519832985386,1.5425822079996578,0.720946416144746,139.34611966600642
3,5,2,4,XY,0.7146833681280446,1.7641797499964014,0.6945024356297843,320.0187299590325
3,5,2,4,XZ,0.9109255393180237,1.5121495830244385,0.8970076548364648,318.12326274998486
3,5,2,4,YZ,0.7369519832985386,1.5456318749929778,0.720946416144746,319.89254633302335
3,5,2,4,XYZ,0.9109255393180237,1.4154491670196876,0.8970076548364648,585.949206832971
3,5,2,5,X,0.8114126652748782,2.2409277919796295,0.7981906750173974,139.70542566699442
3,5,2,5,Y,0.7856645789839944,2.121862083033193,0.721642310368824,139.42488970799604
3,5,2,5,Z,0.7738343771746694,2.2670860840007663,0.7418232428670842,140.320678625023
3,5,2,5,XY,0.9241475295755045,2.4334228329826146,0.9039665970772442,319.92847483296646
3,5,2,5,XZ,0.9206680584551148,2.179399749962613,0.9095337508698678,320.1247040409944
3,5,2,5,YZ,0.8830897703549061,2.3928519589826465,0.8656924147529576,319.24786420800956
3,5,2,5,XYZ,0.965205288796103,2.274984458985273,0.9582463465553236,584.1006342920009
3,5,2,6,X,0.6012526096033403,1.5205363330314867,0.5866388308977035,138.23541762505192
3,5,2,6,Y,0.7856645789839944,1.5734484589775093,0.7647877522616562,137.05674525001086
3,5,2,6,Z,0.7543493389004872,1.5927307910169475,0.7369519832985386,138.76255424995907
3,5,2,6,XY,0.9081419624217119,1.7719516250072047,0.906054279749478,317.11406079196604
3,5,2,6,XZ,0.8656924147529576,1.7032315840478987,0.8343771746694503,316.8897435410181
3,5,2,6,YZ,0.9157967988865693,1.5166917080059648,0.9123173277661796,319.69591549999313
3,5,2,6,XYZ,0.9554627696590118,1.5843839169829153,0.9519832985386222,585.5866925419541
3,5,2,7,X,0.10160055671537926,1.5126369580393657,0.10160055671537926,138.46962799999164
3,5,2,7,Y,0.6889352818371608,1.6221864999970421,0.6541405706332637,139.38300333399093
3,5,2,7,Z,0.49826026443980515,1.5292817919980735,0.49826026443980515,138.8440394999925
3,5,2,7,XY,0.6889352818371608,1.7176902500214055,0.6541405706332637,318.5529842499527
3,5,2,7,XZ,0.49826026443980515,1.6709552909596823,0.49826026443980515,319.3014903750154
3,5,2,7,YZ,0.8295059151009047,1.5007835830328986,0.8079331941544885,319.69848991703475
3,5,2,7,XYZ,0.8295059151009047,2.1350160829606466,0.8079331941544885,587.1015097500058
3,5,2,8,X,0.7856645789839944,1.6538933330448344,0.7647877522616562,138.67475474998355
3,5,2,8,Y,0.348643006263048,1.7613371249753982,0.3465553235908142,137.0672103340039
3,5,2,8,Z,0.2825330549756437,1.6912810420035385,0.2825330549756437,137.36366799997631
3,5,2,8,XY,0.8406402226861517,1.5572078750119545,0.81419624217119,317.356479457987
3,5,2,8,XZ,0.8190675017397355,1.627259041997604,0.8002783576896312,317.837622291001
3,5,2,8,YZ,0.4398051496172582,1.5341610409668647,0.4405010438413361,317.48463050002465
3,5,2,8,XYZ,0.8622129436325678,1.601091583026573,0.8462073764787752,591.9615759580047
3,5,2,9,X,0.10160055671537926,1.873445334029384,0.10160055671537926,136.56637495796895
3,5,2,9,Y,0.10160055671537926,2.0308634999673814,0.10160055671537926,135.67564820800908
3,5,2,9,Z,0.10160055671537926,1.660195417003706,0.10160055671537926,137.0259374169982
3,5,2,9,XY,0.10160055671537926,1.8322811250109226,0.10160055671537926,318.61913350003306
3,5,2,9,XZ,0.10160055671537926,1.666160041000694,0.10160055671537926,320.0959541660268
3,5,2,9,YZ,0.10160055671537926,1.9252543749753386,0.10160055671537926,319.3723472909769
3,5,2,9,XYZ,0.10160055671537926,1.6854840839514509,0.10160055671537926,607.6491412079777
4,5,2,0,X,0.41684064022268613,2.371044332976453,0.41823242867084204,192.51150137500372
4,5,2,0,Y,0.32289491997216424,2.722566790995188,0.32150313152400833,192.96716708299937
4,5,2,0,Z,0.2567849686847599,2.5845592499827035,0.2588726513569937,193.7094794170116
4,5,2,0,XY,0.5191370911621433,2.404277083987836,0.5163535142658316,521.8011589579983
4,5,2,0,XZ,0.5198329853862212,2.365483207977377,0.5212247738343772,520.0688174160314
4,5,2,0,YZ,0.40848990953375086,3.100077415991109,0.41057759220598466,534.7320088749984
4,5,2,0,XYZ,0.6012526096033403,2.8358713749912567,0.6005567153792624,1015.2404387500137
4,5,2,1,X,0.8232428670842032,1.723322875041049,0.7926235212247739,205.34972304099938
4,5,2,1,Y,0.8844815588030619,1.7472165829967707,0.8712595685455811,206.06428245804273
4,5,2,1,Z,0.7668754349338901,1.7369615829666145,0.7376478775226165,204.3847061249544
4,5,2,1,XY,0.9241475295755045,1.6925952079473063,0.9046624913013221,532.5052445000038
4,5,2,1,XZ,0.9352818371607515,1.754638165992219,0.9164926931106472,534.8346447920194
4,5,2,1,YZ,0.9554627696590118,1.7598415419925004,0.9485038274182325,530.3942540829885
4,5,2,1,XYZ,0.9686847599164927,1.818730750004761,0.9631176061238692,1018.7522959159687
4,5,2,2,X,0.47877522616562285,1.8636427500168793,0.4759916492693111,209.69610199995805
4,5,2,2,Y,0.8587334725121781,2.390393000037875,0.8406402226861517,211.07861841702834
4,5,2,2,Z,0.3945720250521921,1.8577301250188611,0.39735560194850383,207.16103237500647
4,5,2,2,XY,0.9067501739735561,2.3051142919575796,0.8900487125956854,533.210171542014
4,5,2,2,XZ,0.5643702157272095,2.1331137500237674,0.5643702157272095,532.8224662910216
4,5,2,2,YZ,0.8865692414752957,2.304119708016515,0.8663883089770354,529.5656876660069
4,5,2,2,XYZ,0.9220598469032707,2.303934958006721,0.9067501739735561,1014.6701320840511
4,5,2,3,X,0.8844815588030619,1.8629697909927927,0.8712595685455811,203.59223216597456
4,5,2,3,Y,0.8232428670842032,2.061927666014526,0.7926235212247739,207.48861029202817
