observable,accuracy
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII']",0.929714683368128
"['IIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII']",0.9171885873347252
"['IIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9366736256089075
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII']",0.9457202505219207
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9505915100904664
"['IIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9505915100904662
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9519832985386222
