observable,accuracy
"['XXIII', 'XIXII', 'XIIXI', 'XIIIX', 'IXXII', 'IXIXI', 'IXIIX', 'IIXXI', 'IIXIX', 'IIIXX', 'IIIII']",0.9352818371607516
"['YYIII', 'YIYII', 'YIIYI', 'YIIIY', 'IYYII', 'IYIYI', 'IYIIY', 'IIYYI', 'IIYIY', 'IIIYY', 'IIIII']",0.9443284620737648
"['ZZIII', 'ZIZII', 'ZIIZI', 'ZIIIZ', 'IZZII', 'IZIZI', 'IZIIZ', 'IIZZI', 'IIZIZ', 'IIIZZ', 'IIIII']",0.9255393180236604
"['XZIII', 'YIYII', 'YIIZI', 'ZIIIX', 'IZYII', 'IYIYI', 'IYIIY', 'IIZZI', 'IIYIZ', 'IIIXZ', 'IIIII']",0.9485038274182324
"['ZZIII', 'XIYII', 'YIIYI', 'XIIIX', 'IXXII', 'IYIXI', 'IYIIY', 'IIXXI', 'IIXIY', 'IIIYY', 'IIIII']",0.9464161447459986
"['YZIII', 'XIYII', 'ZIIZI', 'XIIIX', 'IZXII', 'IXIXI', 'IZIIZ', 'IIYYI', 'IIYIY', 'IIIYX', 'IIIII']",0.9512874043145443
"['ZZIII', 'YIZII', 'YIIYI', 'ZIIIX', 'IZYII', 'IXIXI', 'IZIIY', 'IIXYI', 'IIYIY', 'IIIXY', 'IIIII']",0.9394572025052192
"['ZYIII', 'XIYII', 'YIIZI', 'YIIIZ', 'IYZII', 'IXIZI', 'IZIIZ', 'IIYXI', 'IIXIZ', 'IIIYY', 'IIIII']",0.9547668754349338
