observable,accuracy
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII']",0.7601558152476349
"['IIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII']",0.10127991096271564
"['IIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.902615470228158
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII']",0.7601558152476349
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9410127991096271
"['IIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.902615470228158
"['IIIII', 'IIIIX', 'IIIXI', 'IIXII', 'IXIII', 'XIIII', 'IIIIY', 'IIIYI', 'IIYII', 'IYIII', 'YIIII', 'IIIIZ', 'IIIZI', 'IIZII', 'IZIII', 'ZIIII']",0.9410127991096271
