observable,accuracy
"['XZIII', 'ZIZII', 'XIIZI', 'ZIIIZ', 'IZZII', 'IZIXI', 'IXIIZ', 'IIXXI', 'IIXIX', 'IIIZZ', 'IIIII']",0.9318023660403618
"['XZIII', 'ZIZII', 'XIIXI', 'XIIIX', 'IZXII', 'IZIZI', 'IXIIX', 'IIXZI', 'IIZIZ', 'IIIXZ', 'IIIII']",0.9269311064718163
"['ZXIII', 'ZIXII', 'XIIXI', 'XIIIX', 'IZZII', 'IZIZI', 'IZIIX', 'IIXZI', 'IIXIZ', 'IIIZX', 'IIIII']",0.9213639526791928
"['ZZIII', 'ZIXII', 'ZIIXI', 'XIIIZ', 'IXZII', 'IZIZI', 'IXIIZ', 'IIZXI', 'IIZIZ', 'IIIXX', 'IIIII']",0.9095337508698678
"['ZXIII', 'ZIZII', 'ZIIZI', 'XIIIZ', 'IXXII', 'IZIZI', 'IZIIZ', 'IIXZI', 'IIXIZ', 'IIIZX', 'IIIII']",0.9331941544885177
